"DATE","TIME PERIOD","TARGET balances of France (end of month position) (TGB.M.FR.N.A094T.U2.EUR.E)"
"2008-05-31","2008May","-49681.74"
"2008-06-30","2008Jun","-67582.52"
"2008-07-31","2008Jul","-66121.80"
"2008-08-31","2008Aug","-73477.12"
"2008-09-30","2008Sep","-54288.94"
"2008-10-31","2008Oct","-107233.84"
"2008-11-30","2008Nov","-119078.99"
"2008-12-31","2008Dec","-117683.98"
"2009-01-31","2009Jan","-107163.39"
"2009-02-28","2009Feb","-90516.68"
"2009-03-31","2009Mar","-81345.22"
"2009-04-30","2009Apr","-60029.41"
"2009-05-31","2009May","-46474.86"
"2009-06-30","2009Jun","-50211.06"
"2009-07-31","2009Jul","-49149.74"
"2009-08-31","2009Aug","-74894.79"
"2009-09-30","2009Sep","-92335.71"
"2009-10-31","2009Oct","-81530.00"
"2009-11-30","2009Nov","-81544.78"
"2009-12-31","2009Dec","-62007.93"
"2010-01-31","2010Jan","-77891.14"
"2010-02-28","2010Feb","-63589.87"
"2010-03-31","2010Mar","-54229.49"
"2010-04-30","2010Apr","-52553.83"
"2010-05-31","2010May","-29607.51"
"2010-06-30","2010Jun","8674.45"
"2010-07-31","2010Jul","-19889.45"
"2010-08-31","2010Aug","-26362.29"
"2010-09-30","2010Sep","-31390.77"
"2010-10-31","2010Oct","-23079.59"
"2010-11-30","2010Nov","-11771.66"
"2010-12-31","2010Dec","-28348.77"
"2011-01-31","2011Jan","-18703.87"
"2011-02-28","2011Feb","-25812.23"
"2011-03-31","2011Mar","-22420.36"
"2011-04-30","2011Apr","-22666.46"
"2011-05-31","2011May","-28879.32"
"2011-06-30","2011Jun","-18318.45"
"2011-07-31","2011Jul","-7405.73"
"2011-08-31","2011Aug","-33488.59"
"2011-09-30","2011Sep","-97730.42"
"2011-10-31","2011Oct","-98529.74"
"2011-11-30","2011Nov","-88685.53"
"2011-12-31","2011Dec","-77423.73"
"2012-01-31","2012Jan","-113666.33"
"2012-02-29","2012Feb","-93289.51"
"2012-03-31","2012Mar","-46070.60"
"2012-04-30","2012Apr","-22890.57"
"2012-05-31","2012May","-44207.25"
"2012-06-30","2012Jun","-10176.71"
"2012-07-31","2012Jul","4021.05"
"2012-08-31","2012Aug","7178.07"
"2012-09-30","2012Sep","6138.49"
"2012-10-31","2012Oct","-40983.11"
"2012-11-30","2012Nov","-58962.71"
"2012-12-31","2012Dec","-54799.30"
"2013-01-31","2013Jan","-63764.70"
"2013-02-28","2013Feb","-60312.02"
"2013-03-31","2013Mar","-26982.17"
"2013-04-30","2013Apr","-44847.22"
"2013-05-31","2013May","-44109.00"
"2013-06-30","2013Jun","-41262.45"
"2013-07-31","2013Jul","-30045.28"
"2013-08-31","2013Aug","-11559.11"
"2013-09-30","2013Sep","-25862.88"
"2013-10-31","2013Oct","-36431.45"
"2013-11-30","2013Nov","-48129.09"
"2013-12-31","2013Dec","-16187.99"
"2014-01-31","2014Jan","-27651.53"
"2014-02-28","2014Feb","-25438.96"
"2014-03-31","2014Mar","-14583.68"
"2014-04-30","2014Apr","-31142.65"
"2014-05-31","2014May","-38534.06"
"2014-06-30","2014Jun","-37842.65"
"2014-07-31","2014Jul","-17423.74"
"2014-08-31","2014Aug","-9051.78"
"2014-09-30","2014Sep","-596.40"
"2014-10-31","2014Oct","-15034.94"
"2014-11-30","2014Nov","-20398.17"
"2014-12-31","2014Dec","-17008.66"
"2015-01-31","2015Jan","-53584.08"
"2015-02-28","2015Feb","-55131.02"
"2015-03-31","2015Mar","-16365.20"
"2015-04-30","2015Apr","-58764.17"
"2015-05-31","2015May","-72757.66"
"2015-06-30","2015Jun","-26205.88"
"2015-07-31","2015Jul","-47986.40"
"2015-08-31","2015Aug","-57261.55"
"2015-09-30","2015Sep","-35235.52"
"2015-10-31","2015Oct","-64101.63"
"2015-11-30","2015Nov","-73457.24"
"2015-12-31","2015Dec","-29241.50"
"2016-01-31","2016Jan","-42048.50"
"2016-02-29","2016Feb","-68080.97"
"2016-03-31","2016Mar","-24619.95"
"2016-04-30","2016Apr","-68523.89"
"2016-05-31","2016May","-44690.26"
"2016-06-30","2016Jun","-16901.44"
"2016-07-31","2016Jul","-33487.64"
"2016-08-31","2016Aug","-10578.22"
"2016-09-30","2016Sep","-36961.70"
"2016-10-31","2016Oct","-36064.08"
"2016-11-30","2016Nov","-38655.08"
"2016-12-31","2016Dec","-13803.13"
"2017-01-31","2017Jan","-12442.47"
"2017-02-28","2017Feb","-24668.25"
"2017-03-31","2017Mar","-611.30"
"2017-04-30","2017Apr","-28018.70"
"2017-05-31","2017May","-8554.54"
"2017-06-30","2017Jun","5130.64"
"2017-07-31","2017Jul","-12234.54"
"2017-08-31","2017Aug","9278.50"
"2017-09-30","2017Sep","-7085.87"
"2017-10-31","2017Oct","-28167.16"
"2017-11-30","2017Nov","-26988.24"
"2017-12-31","2017Dec","30039.94"
"2018-01-31","2018Jan","-8893.37"
"2018-02-28","2018Feb","-39814.44"
"2018-03-31","2018Mar","-65776.23"
"2018-04-30","2018Apr","-103424.87"
"2018-05-31","2018May","-83012.26"
"2018-06-30","2018Jun","-65339.87"
"2018-07-31","2018Jul","-48777.85"
"2018-08-31","2018Aug","-29874.81"
"2018-09-30","2018Sep","-67105.04"
"2018-10-31","2018Oct","-25813.45"
"2018-11-30","2018Nov","-46219.89"
"2018-12-31","2018Dec","-2296.65"
"2019-01-31","2019Jan","13521.96"
"2019-02-28","2019Feb","19821.19"
"2019-03-31","2019Mar","-26740.26"
"2019-04-30","2019Apr","-21188.00"
"2019-05-31","2019May","-22914.58"
"2019-06-30","2019Jun","2847.73"
"2019-07-31","2019Jul","35785.51"
"2019-08-31","2019Aug","-4023.37"
"2019-09-30","2019Sep","-36707.73"
"2019-10-31","2019Oct","-17677.67"
"2019-11-30","2019Nov","-29317.75"
"2019-12-31","2019Dec","28457.87"
"2020-01-31","2020Jan","-20904.46"
"2020-02-29","2020Feb","-44328.86"
"2020-03-31","2020Mar","-109383.55"
"2020-04-30","2020Apr","-68512.29"
"2020-05-31","2020May","-19998.90"
"2020-06-30","2020Jun","48263.50"
"2020-07-31","2020Jul","34399.61"
"2020-08-31","2020Aug","11346.74"
"2020-09-30","2020Sep","19868.36"
"2020-10-31","2020Oct","61811.91"
"2020-11-30","2020Nov","40412.13"
"2020-12-31","2020Dec","58296.47"
"2021-01-31","2021Jan","40493.40"
"2021-02-28","2021Feb","35259.38"
"2021-03-31","2021Mar","19512.38"
"2021-04-30","2021Apr","17998.52"
"2021-05-31","2021May","-16560.49"
"2021-06-30","2021Jun","-20026.56"
"2021-07-31","2021Jul","39499.45"
"2021-08-31","2021Aug","26795.89"
"2021-09-30","2021Sep","-18912.18"
"2021-10-31","2021Oct","43112.47"
"2021-11-30","2021Nov","20317.88"
"2021-12-31","2021Dec","25847.19"
"2022-01-31","2022Jan","-22963.37"
"2022-02-28","2022Feb","-49046.03"
"2022-03-31","2022Mar","-20979.69"
"2022-04-30","2022Apr","-39544.72"
"2022-05-31","2022May","-28276.56"
"2022-06-30","2022Jun","-104623.29"
"2022-07-31","2022Jul","-44186.32"
"2022-08-31","2022Aug","-91900.55"
"2022-09-30","2022Sep","-83816.00"
"2022-10-31","2022Oct","-78176.68"
"2022-11-30","2022Nov","-74972.44"
"2022-12-31","2022Dec","-14530.51"
"2023-01-31","2023Jan","-17746.81"
"2023-02-28","2023Feb","-18077.77"
"2023-03-31","2023Mar","-30819.59"
"2023-04-30","2023Apr","-21883.14"
"2023-05-31","2023May","-71572.36"
"2023-06-30","2023Jun","-73247.71"
"2023-07-31","2023Jul","-113756.07"
"2023-08-31","2023Aug","-76513.50"
"2023-09-30","2023Sep","-114485.54"
"2023-10-31","2023Oct","-125282.37"
"2023-11-30","2023Nov","-138293.92"
"2023-12-31","2023Dec","-27495.22"
"2024-01-31","2024Jan","-121615.14"
"2024-02-29","2024Feb","-170222.51"
"2024-03-31","2024Mar","-129614.06"
"2024-04-30","2024Apr","-135779.51"
"2024-05-31","2024May","-145293.24"
"2024-06-30","2024Jun","-111451.80"
"2024-07-31","2024Jul","-150355.07"
"2024-08-31","2024Aug","-140932.65"
"2024-09-30","2024Sep","-175281.31"
"2024-10-31","2024Oct","-209592.75"
"2024-11-30","2024Nov","-176851.64"
"2024-12-31","2024Dec","-108133.91"
"2025-01-31","2025Jan","-212424.68"
"2025-02-28","2025Feb","-208371.34"
